trial,prob,p,P,S,alpha,lambda
21,0.9991727718201213,0.6,70,0,2,0.5
22,0.9994081031792478,0.6,70,0,2,0.5
23,0.9995764869951669,0.6,70,0,2,0.5
24,0.9996969685977025,0.6,70,0,2,0.5
25,0.9997831753590167,0.6,70,0,2,0.5
26,0.999844857888921,0.6,70,0,2,0.5
27,0.9998889928956708,0.6,70,0,2,0.5
28,0.9999205723258645,0.6,70,0,2,0.5
29,0.9999431680045386,0.6,70,0,2,0.5
30,0.9999593356386707,0.6,70,0,2,0.5
31,0.9999709038851865,0.6,70,0,2,0.5
32,0.9999791811830454,0.6,70,0,2,0.5
33,0.9999851037451996,0.6,70,0,2,0.5
34,0.9999893414497062,0.6,70,0,2,0.5
35,0.9999923736069184,0.6,70,0,2,0.5
36,0.9999945431723943,0.6,70,0,2,0.5
37,0.9999960955372736,0.6,70,0,2,0.5
38,0.9999972062835257,0.6,70,0,2,0.5
39,0.9999980010433486,0.6,70,0,2,0.5
40,0.9999985697089412,0.6,70,0,2,0.5
41,0.9999989765998621,0.6,70,0,2,0.5
42,0.9999992677379644,0.6,70,0,2,0.5
43,0.9999994760527491,0.6,70,0,2,0.5
44,0.9999996251058934,0.6,70,0,2,0.5
45,0.9999997317562197,0.6,70,0,2,0.5
46,0.999999808066533,0.6,70,0,2,0.5
47,0.9999998626679966,0.6,70,0,2,0.5
48,0.9999999017363701,0.6,70,0,2,0.5
49,0.9999999296905258,0.6,70,0,2,0.5
50,0.9999999496922496,0.6,70,0,2,0.5
51,0.9999999640038589,0.6,70,0,2,0.5
52,0.9999999742440844,0.6,70,0,2,0.5
53,0.9999999815711582,0.6,70,0,2,0.5
